dataset,model,generation_seed,generation_seconds,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
berka,U,20261021,3.5309967839857563,0.15121810912859723,0.1280112215762088,0.1280112215762088,0.31948976584737104,0.31948976584737104,0.33184477813956553,0.24984016887041532,0.11310517829556166,0.08006944444444442,32314,128,675,0.0,0.0,0.021476759299374884,0.0,0.0,0.37469707326166657,0.24442699939267443,0.20458001627980602
berka,U,20261022,3.488237466022838,0.15562996521509448,0.11089789608261469,0.11089789608261469,0.3178391542192357,0.3178391542192357,0.3244865689014398,0.23291081716149276,0.11383255201218967,0.08006944444444442,32314,128,675,0.0,0.0,0.02382868106702977,0.0,0.0,0.3708133971291866,0.24159779614325072,0.20475661812200255
berka,U+gap,20261021,3.7021372070303187,0.15174628908261453,0.126711475336189,0.126711475336189,0.3203253170016695,0.3203253170016695,0.3335308468439836,0.25204214015748716,0.11420742176148235,0.08006944444444442,32314,128,675,0.0,0.0,0.0217552763508077,0.0,0.0,0.3735475051264525,0.2432527738539804,0.2031767606898692
berka,U+gap,20261022,3.6800994540099055,0.15249195490005066,0.12287412929422577,0.12287412929422577,0.3245427559114015,0.3245427559114015,0.3305177692538111,0.24817646503567165,0.1151941909303057,0.08006944444444442,32314,128,675,0.0,0.0,0.0253759980194343,0.0,0.0,0.36372957186354316,0.24367944655025994,0.2044240470291622
berka,G,20261021,3.4689174279919825,0.10809376935353979,0.07438121600586779,0.07438121600586779,0.3000331301560921,0.3000331301560921,0.2968421733923756,0.24160674558472306,0.09150909066183721,0.08006944444444442,32314,128,675,0.0,0.0,0.022343256792721422,0.0,0.0,0.4007332380538122,0.2077736691219883,0.17826617958666754
berka,G,20261022,3.4502294120029546,0.10629174362806905,0.06011495370469801,0.06011495370469801,0.30233692405697654,0.30233692405697654,0.2916774162225178,0.23869374957508235,0.09062530407711089,0.08006944444444442,32314,128,675,0.0,0.0,0.02333353964226032,0.0,0.0,0.3977195053750078,0.1966338290069977,0.17704482257755133
berka,G+gap,20261021,3.6546349249547347,0.10908799044345463,0.08431499084030487,0.08431499084030487,0.30023579696716945,0.30023579696716945,0.30145100889107745,0.25725610537057364,0.09215205831280882,0.08006944444444442,32314,128,675,0.0,0.0,0.024200037135606856,0.0,0.0,0.3878083638849189,0.21348194067270598,0.17843988363473615
berka,G+gap,20261022,3.6577586220228113,0.11076573853268597,0.057082212477985145,0.057082212477985145,0.3011609631731491,0.3011609631731491,0.2910196233212816,0.2307143776795065,0.09195599665617882,0.08006944444444442,32314,128,675,0.0,0.0,0.02336448598130841,0.0,0.0,0.3968806313303921,0.19967872569800285,0.17941723432483547
berka,ARGN,20261021,12.17630586202722,0.05673186115721142,0.013500571915643205,0.013500571915643205,0.21236740548555022,0.21236740548555022,0.11453483562374858,0.15510765875947422,0.13946256565421258,0.06813657407407409,31678,128,554,0.0,0.0,0.0,0.0,0.0,0.3465610142630745,0.08581715010129298,0.06290902813741783
berka,ARGN,20261022,11.316995460016187,0.07446267300296146,0.033311649639784516,0.033311649639784516,0.224573150611108,0.224573150611108,0.13446479246230297,0.15296722315434913,0.1379062482910583,0.06649305555555551,29958,128,569,0.0,0.0,0.0,0.0,0.0,0.315420717398592,0.0909057360269139,0.0835964888094821
berka,CPAR-tail,20261021,97.03584567201324,0.17049202711258826,0.03554631279541346,0.03554631279541346,0.47021417369242874,0.47021417369242874,0.4544655182952128,0.4565067619393556,0.24736600618240495,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.5215311004784688,0.261953283150879,0.23424127585393012
berka,CPAR-tail,20261022,96.47291219502222,0.17866328169532603,0.03696984439162562,0.03696984439162562,0.47145202725435226,0.47145202725435226,0.4618695706753905,0.4587002380817575,0.25253404480343605,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.5325918101037719,0.26851524863058673,0.23492735991749647
berka,Marginal,20261021,2.2459129369817674,0.016202656648575786,0.01830478359174128,0.01830478359174128,0.02840168891948258,0.02840168891948258,0.3940225251485933,0.3635391575710349,0.00989307455226851,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4637109302181073,0.14665064849851175,0.10023118352533579
berka,Marginal,20261022,2.262252307962626,0.02088193812256977,0.021646988208935077,0.021646988208935077,0.030168290286621293,0.030168290286621293,0.39586596157955917,0.3667056268412193,0.012275942658971473,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4602932952215249,0.15136965559974697,0.1066937495770166
berka,Transition,20261021,2.269385316001717,0.016202656648575786,0.05537540158680506,0.05537540158680506,0.060420137317830025,0.060420137317830025,0.21099479005517252,0.254843393354187,0.018993028476276652,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4637109302181073,0.09124538076246783,0.10023118352533579
berka,Transition,20261022,2.2712786389747635,0.02088193812256977,0.05178562625722655,0.05178562625722655,0.056884216638361323,0.056884216638361323,0.21382248429148723,0.25559233042419993,0.021004178762904946,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4602932952215249,0.0949768514592555,0.1066937495770166
